ds,yhat,yhat_lower,yhat_upper
1949-01-01,84.81411608974628,56.89570117411487,115.1653534964722
1949-02-01,78.22776819670649,50.81396216672815,105.84948645062425
1949-03-01,110.34224513100011,83.7627036000816,139.41281096496797
1949-04-01,107.81071901936158,81.26962049727257,136.724390275732
1949-05-01,111.26610903205253,81.84159462688731,140.30164317025108
1949-06-01,151.23888860895076,123.16458111755429,181.83078380239786
1949-07-01,190.00311066798483,161.53356342352558,219.8011420926774
1949-08-01,189.48158954872986,160.24578294073223,218.01969403299822
1949-09-01,140.02281452809572,110.8358501197606,168.71962746895295
1949-10-01,103.8547942228716,73.09426124097469,132.72760406794524
1949-11-01,69.08478009032194,43.00545287536587,96.76164888791784
1949-12-01,97.59257990027157,69.14158842256901,126.31229878247812
1950-01-01,109.56915413186395,79.85985596452508,138.19001448181322
1950-02-01,102.47197469645381,73.06628382845896,130.10508971879446
1950-03-01,137.1831475929339,109.3935219581738,165.83221266585045
1950-04-01,132.50304946644135,103.9056014614076,159.57676605486688
1950-05-01,137.52121873131176,109.28355194582552,165.6678430947968
1950-06-01,176.1805839342627,150.74692812774092,205.39868727737502
1950-07-01,215.8191997416392,185.44147800269928,242.11025784695025
1950-08-01,214.80268580362588,187.09273864185536,242.4761059516918
1950-09-01,165.83969849574817,138.52609118931872,195.20531410987505
1950-10-01,129.26264567279532,101.57101542231075,158.0074869813947
1950-11-01,95.42580256541271,64.15099682404521,123.19069122581833
1950-12-01,124.07862607396383,95.92032099491499,152.49167086583606
1951-01-01,134.2888406683438,103.54601981087542,164.19377753670017
1951-02-01,126.74134643315665,99.13332710258344,155.04656227577797
1951-03-01,164.0232923498158,134.45906989152553,191.89587657248376
1951-04-01,157.1933238529312,128.17211881522732,185.75154862313715
1951-05-01,163.7845108620589,135.96064276275632,192.09019078686023
1951-06-01,201.11562460458833,172.5908994017777,230.94130258362597
1951-07-01,241.6233864907631,213.8327580245078,270.4732036194866
1951-08-01,240.11034798535565,209.08427483656084,267.7741899619177
1951-09-01,191.6622339177583,163.6741467250738,219.71563938739826
1951-10-01,154.68872777144998,125.4145581586142,183.8519653693409
1951-11-01,121.79398390833123,92.76808585265795,149.23883993819913
1951-12-01,150.53429826158103,122.45446858867994,180.5753852457997
1952-01-01,158.97425050034266,128.7086829789473,186.00453135781717
1952-02-01,151.03728513966772,124.03807388953967,179.6048397435793
1952-03-01,185.91440614168874,158.0328989376167,213.75781376697194
1952-04-01,185.5284744770224,155.43225185312988,214.78340050025113
1952-05-01,187.4325473362033,159.8221775279769,218.58675442042454
1952-06-01,228.7031961290116,199.90475479202865,259.4015180341225
1952-07-01,266.58801986821476,237.81079471059198,294.69877512659286
1952-08-01,266.55912103059467,237.01388786410286,294.02531724488284
1952-09-01,216.6237387616733,190.01855414523422,246.48025097700787
1952-10-01,180.87742505473165,151.81610848326108,208.87209742444102
1952-11-01,145.18461912405394,117.27548994054257,174.14689667378119
1952-12-01,173.4900492291205,144.97290174427928,202.63818294779307
1953-01-01,187.2267739525879,159.00052549877333,214.91013325823732
1953-02-01,180.6404261530855,151.7726897243536,209.9366691202262
1953-03-01,212.75490317185663,183.88023565385612,242.81705454127848
1953-04-01,210.2233771749662,179.56098281143014,238.20317588437328
1953-05-01,213.67876729869621,185.292053715135,243.54257252210928
1953-06-01,253.6515469903389,225.18905044832388,282.09896086484343
1953-07-01,292.41576917660666,264.42356353992034,323.6010885319878
1953-08-01,291.8942481888298,261.50294344420695,320.6826820409527
1953-09-01,242.55939605973867,213.1230333267295,270.5729968709025
1953-10-01,206.51130113343098,178.02424119816308,233.18332173041176
1953-11-01,171.86520984340495,143.41873210212597,201.12585936489728
1953-12-01,200.49293498483658,172.4354882118392,232.54772196420296
1954-01-01,212.78140321193095,183.86912395889087,240.92186415102788
1954-02-01,205.9961177720192,176.78289538718377,235.44241287590646
1954-03-01,240.98900137412357,211.07332860066208,270.5856194272422
1954-04-01,236.62079721438263,206.60621581995738,264.1342194865992
1954-05-01,241.94079935030317,214.2917507156404,271.2931357240961
1954-06-01,281.15546509512353,254.5676404904808,309.2674967717296
1954-07-01,321.33146852366093,291.3047220847397,348.61200643006936
1954-08-01,320.87025512735033,295.35434503709024,351.3740244481635
1954-09-01,272.4625683611753,244.8226509771156,304.08631570524994
1954-10-01,236.64424246236416,208.17476062588392,264.31535054079177
1954-11-01,203.59141717658756,175.81092097492603,233.01325427034047
1954-12-01,233.00296760927728,205.44371303640304,262.5369437881993
1955-01-01,243.9972000069414,216.28368774378208,271.0633089515447
1955-02-01,237.2337235750356,207.45811120644757,266.7655156862939
1955-03-01,275.3485731919106,246.31853250821567,304.49475101651507
1955-04-01,269.44074807740935,242.12775358800232,298.7937871689651
1955-05-01,276.92433190634694,247.28775328295967,307.23301778937605
1955-06-01,315.1775890293495,285.4937691859715,343.63207694280646
1955-07-01,356.5777477353358,328.53688547438156,386.48919695979004
1955-08-01,356.00907492488517,327.4798414336133,384.8016484265199
1955-09-01,308.5053265522447,280.4530762370769,335.3847796847266
1955-10-01,272.4457226854715,243.1323627667117,300.3184230456057
1955-11-01,240.49534451120732,213.02000503800494,268.8297688014674
1955-12-01,270.14956113973955,240.946805446524,299.9395919501345
1956-01-01,279.5338790629632,251.34567529289276,307.2144847102763
1956-02-01,272.5412793728359,241.45821175509406,298.9582862429252
1956-03-01,308.3018392279435,278.1397727475443,335.7788517106576
1956-04-01,308.8602732338202,278.93242656821116,338.72021444596766
1956-05-01,311.67824838392113,282.9825187024108,340.5473701666312
1956-06-01,353.89326287734946,327.2025497234326,381.71573403307843
1956-07-01,392.69198891617054,364.01478916281565,422.3391377220534
1956-08-01,393.6074557881542,367.30207097289355,423.1649058314964
1956-09-01,344.61643922811226,314.67535883238133,373.19081643614055
1956-10-01,309.78402782008425,280.01906510851336,337.6343621669635
1956-11-01,275.0355875982868,247.98654610508953,305.5320734637896
1956-12-01,304.25492000123586,275.6159592887621,331.0636580241953
1957-01-01,318.93601043251334,290.5082948641837,347.6044576677142
1957-02-01,313.2940283627688,286.0725226123474,342.77594618411655
1957-03-01,346.2614808793915,314.79582548840216,377.40739690934043
1957-04-01,344.67432059105096,317.50177010773535,372.9435952147833
1957-05-01,349.0436130133816,320.86218279511314,377.8418379830735
1957-06-01,389.9607583892963,362.37425715200726,419.57193530127336
1957-07-01,429.63888285066554,400.43662646297275,458.2857390944137
1957-08-01,430.06172754715976,402.1907271124936,458.73368120259306
1957-09-01,381.5473183422727,352.4849523576109,411.18835850358846
1957-10-01,346.2932004393891,317.2230956549926,375.4792446419587
1957-11-01,312.4675520954685,282.8784646329773,339.21952024619986
1957-12-01,341.889254281517,312.81349746278966,370.110010379556
1958-01-01,354.8101943017388,325.7917299142537,382.8621935626856
1958-02-01,348.657380654954,320.1807380115017,379.2239753792156
1958-03-01,384.22153090633736,356.7658674190016,412.51350312194205
1958-04-01,380.4858005368636,352.8027137916052,407.23961786153313
1958-05-01,386.4178740827282,358.36065014856206,414.59008171855
1958-06-01,426.02160704270165,397.12675789318376,452.36044263215365
1958-07-01,466.57412713107044,437.39908689679373,494.6934085077764
1958-08-01,466.50198162232624,436.8004937491858,494.3225587754496
1958-09-01,418.48336274371746,390.44023671167736,445.72213691761345
1958-10-01,382.82021485232343,353.5940608132287,411.2549181462545
1958-11-01,349.9277401742098,321.52313044631967,378.5095873863754
1958-12-01,379.4944686143146,349.37057927448114,408.97425771820286
1959-01-01,390.6490516196405,362.60707464269797,417.6175900148793
1959-02-01,384.0459257953943,356.8617996846659,414.94593710122854
1959-03-01,422.1808496316172,394.53533169437605,449.2675415932396
1959-04-01,416.29524954567984,388.02372854595984,443.7665602997298
1959-05-01,423.8003414667748,392.14873303306547,452.9031474967914
1959-06-01,462.0758236183394,434.045523682791,491.80701202541053
1959-07-01,503.49749041648363,476.00579308588254,533.8750454159565
1959-08-01,502.92882032011187,474.2810635208833,531.5799439419052
